code,passport,button,tv state,unit,day,cs_start,cs_finish,see,display,Кол-во человек в семье 4+,Begin,End
258104,1204558,А,выключен,0,2022-02-07,1900-01-01 16:25:18,1900-01-01 16:26:09,нет регистрации,нет в комнате,1,2022-02-07 16:25:18,2022-02-07 16:26:09
258106,1205697,Б,включён,0,2022-02-07,1900-01-01 16:50:18,1900-01-01 16:53:17,нет регистрации,в комнате,3,2022-02-07 16:50:18,2022-02-07 16:53:17
258106,1205697,А,включён,0,2022-02-07,1900-01-01 16:50:18,1900-01-01 16:53:17,нет регистрации,нет в комнате,3,2022-02-07 16:50:18,2022-02-07 16:53:17
258106,1205697,В,включён,0,2022-02-07,1900-01-01 16:50:18,1900-01-01 16:53:17,нет регистрации,в комнате,3,2022-02-07 16:50:18,2022-02-07 16:53:17
258109,1206994,А,выключен,1,2022-02-08,1900-01-01 03:05:31,1900-01-01 03:06:58,нет регистрации,нет в комнате,1,2022-02-08 03:05:31,2022-02-08 03:06:58
258109,1206994,А,выключен,0,2022-02-08,1900-01-01 03:05:31,1900-01-01 03:06:58,нет регистрации,нет в комнате,1,2022-02-08 03:05:31,2022-02-08 03:06:58
258110,1208135,А,выключен,2,2022-02-09,1900-01-01 14:31:41,1900-01-01 14:33:41,нет регистрации,нет в комнате,2,2022-02-09 14:31:41,2022-02-09 14:33:41
258110,1208135,А,включён,1,2022-02-09,1900-01-01 14:31:41,1900-01-01 14:33:41,нет регистрации,нет в комнате,2,2022-02-09 14:31:41,2022-02-09 14:33:41
258110,1208135,Б,выключен,2,2022-02-09,1900-01-01 14:31:41,1900-01-01 14:33:41,нет регистрации,нет в комнате,2,2022-02-09 14:31:41,2022-02-09 14:33:41
258110,1208135,Б,включён,1,2022-02-09,1900-01-01 14:31:41,1900-01-01 14:33:41,нет регистрации,в комнате,2,2022-02-09 14:31:41,2022-02-09 14:33:41
258111,1208258,А,выключен,0,2022-02-07,1900-01-01 18:49:46,1900-01-01 18:51:19,нет регистрации,нет в комнате,2,2022-02-07 18:49:46,2022-02-07 18:51:19
258111,1208258,А,включён,1,2022-02-07,1900-01-01 18:49:46,1900-01-01 18:51:19,нет регистрации,нет в комнате,2,2022-02-07 18:49:46,2022-02-07 18:51:19
258111,1208258,Б,выключен,0,2022-02-07,1900-01-01 18:49:46,1900-01-01 18:51:19,нет регистрации,нет в комнате,2,2022-02-07 18:49:46,2022-02-07 18:51:19
258111,1208258,Б,включён,1,2022-02-07,1900-01-01 18:49:46,1900-01-01 18:51:19,есть регистрация,в комнате,2,2022-02-07 18:49:46,2022-02-07 18:51:19
258112,1208518,А,выключен,0,2022-02-07,1900-01-01 19:02:54,1900-01-01 19:04:16,нет регистрации,нет в комнате,3,2022-02-07 19:02:54,2022-02-07 19:04:16
258112,1208518,Б,выключен,0,2022-02-07,1900-01-01 19:02:54,1900-01-01 19:04:16,нет регистрации,нет в комнате,3,2022-02-07 19:02:54,2022-02-07 19:04:16
258112,1208518,В,выключен,0,2022-02-07,1900-01-01 19:02:54,1900-01-01 19:04:16,нет регистрации,нет в комнате,3,2022-02-07 19:02:54,2022-02-07 19:04:16
258114,1208587,А,выключен,0,2022-02-08,1900-01-01 19:49:05,1900-01-01 19:51:18,нет регистрации,нет в комнате,1,2022-02-08 19:49:05,2022-02-08 19:51:18
258115,1208635,А,выключен,0,2022-02-07,1900-01-01 19:20:08,1900-01-01 19:21:34,нет регистрации,нет в комнате,1,2022-02-07 19:20:08,2022-02-07 19:21:34
258116,1209281,Б,выключен,0,2022-02-07,1900-01-01 19:46:13,1900-01-01 19:47:07,нет регистрации,нет в комнате,4,2022-02-07 19:46:13,2022-02-07 19:47:07
258116,1209281,Б,выключен,1,2022-02-07,1900-01-01 19:46:13,1900-01-01 19:47:07,нет регистрации,нет в комнате,4,2022-02-07 19:46:13,2022-02-07 19:47:07
258116,1209281,Г,выключен,0,2022-02-07,1900-01-01 19:46:13,1900-01-01 19:47:07,нет регистрации,нет в комнате,4,2022-02-07 19:46:13,2022-02-07 19:47:07
258116,1209281,Г,выключен,1,2022-02-07,1900-01-01 19:46:13,1900-01-01 19:47:07,нет регистрации,нет в комнате,4,2022-02-07 19:46:13,2022-02-07 19:47:07
